TỦ ĐIỆN ,DMX-LT-EX6; EX1; EX1.1; EX2,,,,,,,,
,,,,,,,,,
DMX ,"ĐỊA CHỈ
(Group)  ",TÊN LỘ ,KHU VỰC,SCENE SETTING,,,,,
,,,,DAY TIME,EVERNING,NIGHT,RELAX SCENE,LATE NIGHT,OFF
,,,,5:30 - 17:00,17:00-18:30,18:30 - 23:00,18:30 - 23:00,23:00 - 5:30,23:00 - 5:30
,Group 102,C2.1,Maingate,100,100,100,100,100,100
,Group 103,C2.2,Maingate,100,100,100,100,100,100
,Group 104,C12a1,VLC1,100,100,100,100,100,100
DMX 2,Group 105,C12a1.1,VLC1,100,100,100,100,100,100
,Group 106,C12a2,VLC1,100,100,100,100,100,100
,Group 107,C12a3.1,VLC1,100,100,100,100,100,100
,Group 108,C12a3.2,VLC1,100,100,100,100,100,100
DMX 3,Group 109,C12a4,VLC1,100,100,100,100,100,100
,Group 110,C12a5,VLC1,100,100,100,100,100,100
,Group 111,C12a5.1,VLC1,100,100,100,100,100,100
,Group 112,C12a6,VLC1,100,100,100,100,100,100
DMX 4,Group 113,C12a7,VLC1,100,100,100,100,100,100
,Group 114,C12a5,VLC1,100,100,100,100,100,100
,Group 115,C12b1,VLC1,100,100,100,100,100,100
,Group 116,C12b2,VLC1,100,100,100,100,100,100
DMX 5,Group 117,C17,VLC1,100,100,100,100,100,100
,Group 118,C18.1,VLC1,100,100,100,100,100,100
,Group 119,C18.2,VLC1,100,100,100,100,100,100
,Group 120,C19,VLC1,100,100,100,100,100,100
DMX 6,Group 121,C21,VLC1,100,100,100,100,100,100
,Group 122,SPARE,VLC1,100,100,100,100,100,100
,Group 123,SPARE,VLC1,100,100,100,100,100,100
,Group 124,SPARE,VLC1,100,100,100,100,100,100
DMX-LT-EX2,,,,,,,,,
DMX 1,Group 125,C4.4,VLC2,100,100,100,100,100,100
,Group 126,C4.5,VLC2,100,100,100,100,100,100
,Group 127,C4.6,VLC2,100,100,100,100,100,100
,Group 128,C4.7,VLC2,100,100,100,100,100,100
DMX 2,Group 129,C10.6,VLC2,100,100,100,100,100,100
,Group 130,C10.7,VLC2,100,100,100,100,100,100
,Group 131,C10.8,VLC2,100,100,100,100,100,100
,Group 132,C10.9,VLC2,100,100,100,100,100,100
DMX 3,Group 133,C10.10,VLC2,100,100,100,100,100,100
,Group 134,C8.2,VLC2,100,100,100,100,100,100
,Group 135,C8.3,VLC2,100,100,100,100,100,100
,Group 136,C9.2,VLC2,100,100,100,100,100,100
DMX 4,Group 137,C11.3,VLC2,100,100,100,100,100,100
,Group 138,C11.4,VLC2,100,100,100,100,100,100
,Group 139,C13.1,VLC2,100,100,100,100,100,100
,Group 140,C13.2,VLC2,100,100,100,100,100,100
DMX 5,Group 141,C13.3,VLC2,100,100,100,100,100,100
,Group 142,C13.x,VLC2,100,100,100,100,100,100
,Group 143,C26.4,VLC5,100,100,100,100,100,100
,Group 144,C26.5,VLC5,100,100,100,100,100,100
DMX 6,Group 145,C26.6,VLC5,100,100,100,100,100,100
,Group 146,C27.5,VLC5,100,100,100,100,100,100
,Group 147,C27.6,VLC5,100,100,100,100,100,100
,Group 148,SPARE,VLC2,100,100,100,100,100,100
DMX 7,Group 149,SPARE,VLC2,100,100,100,100,100,100
,Group 150,C12,VLC2,100,100,100,100,100,100
,Group 151,C14.1,VLC2,100,100,100,100,100,100
,Group 152,C14.2,VLC2,100,100,100,100,100,100
DMX 8,Group 153,C17,VLC2,100,100,100,100,100,100
,Group 154,C18.1,VLC2,100,100,100,100,100,100
,Group 155,C18.2,VLC2,100,100,100,100,100,100
,Group 156,C19,VLC2,100,100,100,100,100,100
DMX 9,Group 157,SPARE,VLC2,100,100,100,100,100,100
,Group 158,SPARE,VLC2,100,100,100,100,100,100
,Group 159,SPARE,VLC2,100,100,100,100,100,100
,Group 160,SPARE,VLC2,100,100,100,100,100,100
DMX 10,Group 161,SPARE,VLC2,100,100,100,100,100,100
,Group 162,SPARE,VLC2,100,100,100,100,100,100
,Group 163,SPARE,VLC2,100,100,100,100,100,100
,Group 164,SPARE,VLC2,100,100,100,100,100,100
DMX 11,Group 165,SPARE,VLC2,100,100,100,100,100,100
,Group 166,SPARE,VLC2,100,100,100,100,100,100
,Group 167,SPARE,VLC2,100,100,100,100,100,100
,Group 168,SPARE,VLC2,100,100,100,100,100,100
